k,weights,metric,train_accuracy_mean,train_f1_mean,cv_accuracy_mean,cv_f1_mean,train_accuracy_std,train_f1_std,cv_accuracy_std,cv_f1_std
1,uniform,euclidean,1.0,1.0,0.9490476190476189,0.9501194007297242,0.0,0.0,0.01981449440517109,0.019911232877751768
3,uniform,euclidean,0.9755952380952382,0.9761717581853876,0.9599999999999997,0.9608569933434281,0.0044086671417740385,0.004306243418363524,0.012891111589676532,0.012581205716623469
5,uniform,euclidean,0.9770238095238094,0.9775473322140512,0.9657142857142855,0.9663649661865124,0.00268847375967528,0.002607093726064776,0.014836327647898651,0.014516434661209415
7,uniform,euclidean,0.973452380952381,0.9739482935005824,0.9685714285714284,0.9691793796524163,0.003227486121839503,0.003146189016151952,0.014488358652488865,0.014087880315164671
9,uniform,euclidean,0.9751190476190476,0.9755793085607434,0.9690476190476189,0.9696488796340486,0.002820771903260429,0.0027316436833335093,0.014950517670636678,0.014518368625336404
11,uniform,euclidean,0.9735714285714285,0.9740662295662781,0.9690476190476189,0.9697590028915913,0.0030334625502438156,0.0029673803566018526,0.016569199943970894,0.01586890266748667
15,uniform,euclidean,0.9720238095238095,0.972589801366449,0.9695238095238093,0.9701673348445348,0.003676184748506328,0.003594565887190021,0.016744231561148834,0.016054447834340232
21,uniform,euclidean,0.9713095238095238,0.9719024173798191,0.9676190476190475,0.9682768343195504,0.002977890670831389,0.0029169619312103476,0.014999190130388423,0.014467735239098216
31,uniform,euclidean,0.9685714285714285,0.9692455768857825,0.9685714285714285,0.9692574571965206,0.0035586506107085202,0.003482431017312841,0.016598500055174648,0.0160378004653801
51,uniform,euclidean,0.968452380952381,0.9691325189373678,0.9685714285714284,0.969206012555056,0.003973918859029891,0.0038912787330383043,0.018469105872242896,0.017958893363336215
101,uniform,euclidean,0.9541666666666668,0.9551866383444222,0.9509523809523807,0.9520371806481693,0.0038575837490523266,0.0037550335422450207,0.018482255824690104,0.01787892331033187
201,uniform,euclidean,0.8772619047619049,0.8805155562050975,0.8752380952380954,0.8783654401179916,0.007797391854196564,0.008051787520100903,0.029803372471752094,0.030346592091124978
501,uniform,euclidean,0.7154761904761905,0.7180485044735726,0.7147619047619048,0.7165486198491323,0.00979627266932969,0.010560495665526137,0.03925942224714706,0.04436251641541245
