method,degree,alpha,cv_mse_mean,cv_mse_std
Ridge,1,0.01,1084.0205713643452,303.59862393480853
Ridge,1,0.1,1083.9026127848217,304.5547375954031
Ridge,1,1.0,1083.1135605864267,314.3769201238915
Ridge,1,10.0,1100.5418396431019,413.1682365273525
Ridge,1,100.0,1394.6008699623878,711.4713277556048
Ridge,2,0.01,1023.9472354080284,404.0342508162816
Ridge,2,0.1,1023.822442289337,403.6723910375019
Ridge,2,1.0,1022.9738917054996,401.0839700163687
Ridge,2,10.0,1040.472135773442,434.0053308474541
Ridge,2,100.0,1352.2594959836983,715.5308938615794
Ridge,3,0.01,1075.9772775824108,382.7664078088294
Ridge,3,0.1,1074.5951024154697,381.3247960538834
Ridge,3,1.0,1066.439530432989,374.41580382144576
Ridge,3,10.0,1072.019056111578,409.2835574445209
Ridge,3,100.0,1268.1360765766196,673.675540215252
Ridge,4,0.01,1119.1985168195802,366.19080928054655
Ridge,4,0.1,1115.3459591612518,365.8111553592638
Ridge,4,1.0,1092.2267436148277,364.82564727772683
Ridge,4,10.0,1077.7033929928418,410.39966465030943
Ridge,4,100.0,1258.6218297911669,680.5462500405856
Ridge,5,0.01,1253.4885869183497,313.6453903108148
Ridge,5,0.1,1211.0505452939924,315.59103814115207
Ridge,5,1.0,1132.1444216046937,339.71685207591617
Ridge,5,10.0,1105.826740325845,386.16315466969655
Ridge,5,100.0,1248.9535759045625,663.9144812650419
Ridge,6,0.01,1274.8776109102141,344.96210991318026
Ridge,6,0.1,1207.623923234451,315.52499913638474
Ridge,6,1.0,1138.0318857502393,326.67599634026203
Ridge,6,10.0,1111.232119359887,377.87606417994226
Ridge,6,100.0,1248.4283580339577,666.999899268804
Ridge,7,0.01,1126.9212376316436,364.6180731618898
Ridge,7,0.1,1198.350029591408,317.6119630613986
Ridge,7,1.0,1161.980550333437,317.7834437801943
Ridge,7,10.0,1128.5337932105006,366.27552106576815
Ridge,7,100.0,1260.0822960784628,659.1849431574179
Ridge,8,0.01,1116.2888645750577,373.6373970312531
Ridge,8,0.1,1201.6574786376027,326.1019258101683
Ridge,8,1.0,1160.2611603088596,312.4382093611022
Ridge,8,10.0,1132.6341120112104,357.7141773643305
Ridge,8,100.0,1262.8471057626202,658.4844594196645
Ridge,9,0.01,1146.1570337197281,386.8450824061869
Ridge,9,0.1,1137.8409481425147,351.97976735058086
Ridge,9,1.0,1163.491417998181,313.94251692557344
Ridge,9,10.0,1140.7722253942218,354.7466966797093
Ridge,9,100.0,1278.1626065401463,653.1459241985868
Lasso,1,0.01,1084.0566343853493,303.6816080043325
Lasso,1,0.1,1084.2693791050158,305.39920095497865
Lasso,1,1.0,1087.4138756979285,324.2031463870822
Lasso,1,10.0,1220.5637812520933,589.9243382380349
Lasso,1,100.0,1714.524737882753,832.172998446857
Lasso,2,0.01,1023.9973284301923,403.9094850186035
Lasso,2,0.1,1024.3409472936062,402.45169821227773
Lasso,2,1.0,1029.9358727788913,391.68386388801673
Lasso,2,10.0,1227.2370979824411,579.0186132814517
Lasso,2,100.0,1714.524737882753,832.172998446857
Lasso,3,0.01,1075.6830151698905,382.760268718524
Lasso,3,0.1,1071.6909205453035,381.38226458133585
Lasso,3,1.0,1039.453294957936,380.63807823840034
Lasso,3,10.0,1227.4961761602028,579.1026413965167
Lasso,3,100.0,1714.524737882753,832.172998446857
Lasso,4,0.01,1118.3107317812598,366.49012553648305
Lasso,4,0.1,1106.6478197225815,369.0805566819062
Lasso,4,1.0,1048.5785938278693,381.2482868461308
Lasso,4,10.0,1230.955060503887,580.2787198954172
Lasso,4,100.0,1714.524737882753,832.172998446857
Lasso,5,0.01,1255.2834285178258,312.53156707307227
Lasso,5,0.1,1205.8595276942679,304.289899018217
Lasso,5,1.0,1077.2827645550735,344.81444285945224
Lasso,5,10.0,1230.955060503887,580.2787198954171
Lasso,5,100.0,1714.524737882753,832.172998446857
Lasso,6,0.01,1290.6214492612871,351.4963623688412
Lasso,6,0.1,1206.5421601306157,319.67601446147034
Lasso,6,1.0,1082.7751173630108,341.25338043938103
Lasso,6,10.0,1233.906953693058,581.3619143087734
Lasso,6,100.0,1714.524737882753,832.172998446857
Lasso,7,0.01,1115.9802426135764,359.24748268093145
Lasso,7,0.1,1208.153034389928,320.3226264089796
Lasso,7,1.0,1098.6308419379707,321.3894033836041
Lasso,7,10.0,1233.906953693058,581.3619143087735
Lasso,7,100.0,1714.524737882753,832.172998446857
Lasso,8,0.01,1154.0251839894431,379.75237046317005
Lasso,8,0.1,1213.2117487358141,320.1866842898798
Lasso,8,1.0,1101.210877425683,319.6551973313058
Lasso,8,10.0,1233.906953693058,581.3619143087735
Lasso,8,100.0,1714.524737882753,832.172998446857
Lasso,9,0.01,1296.1340183437665,538.1872467606668
Lasso,9,0.1,1170.4830410210607,359.53467290044654
Lasso,9,1.0,1101.4103069740454,319.53929473854413
Lasso,9,10.0,1233.906953693058,581.3619143087735
Lasso,9,100.0,1714.524737882753,832.172998446857
